"authors.keyword: Descending",Count
"Wei Wang",17742
"Wei Zhang",14908
"Wei Li",13788
"&NA; &NA;",13119
"Y. Wang",11171
"Lei Wang",10780
"Lei Zhang",10696
"Jun Wang",10599
Anonymous,10484
"Yan Li",10339
"J. Wang",10277
"Wei Liu",10188
"Y. Zhang",10053
"Jing Wang",9963
"Jing Li",9925
"Yang Liu",9889
"Yan Zhang",9522
"Li Li",9490
"Jun Li",9360
"J. Zhang",9310
"Yan Wang",9185
"Li Zhang",9147
"Wei Chen",9011
"Y. Liu",8651
"Li Wang",8634
"Jing Zhang",8423
"Y. Li",8332
"Xin Wang",8276
"Ying Wang",8251
"Hui Li",8023
"Hui Wang",8016
"J. Li",7964
"Jie Zhang",7918
"Jian Wang",7863
"Jun Zhang",7836
"X. Wang",7777
"Yu Zhang",7777
"Jian Zhang",7509
"Yu Wang",7374
"Not Available Not Available",7223
"Y. Chen",7199
"H. Wang",7177
"Yi Zhang",7162
"X. Zhang",6946
"L. Zhang",6894
"Ying Zhang",6822
"Yang Li",6787
"Tao Wang",6753
"L. Wang",6674
"J. Chen",6634
"Hui Zhang",6567
"Yong Zhang",6527
"Ming Li",6375
"Yang Yang",6370
"Yong Wang",6315
"Jun Liu",6256
"Xin Li",6174
"Jian Li",6170
"Yan Liu",6146
"X. Li",6081
"H. Zhang",6007
"J. Liu",5966
"Ying Li",5965
"Yi Wang",5937
"Ying Liu",5924
"Yu Liu",5831
"T. Suzuki",5793
"Z. Zhang",5683
"Yang Wang",5673
"Bin Wang",5667
"J. Lee",5591
"Jie Li",5583
"Hao Wang",5564
"Qi Wang",5548
"Wei Huang",5539
"Z. Wang",5527
"Jing Liu",5507
"Tao Zhang",5381
"H. Li",5364
"L. Li",5351
"Peng Zhang",5336
"Bin Li",5325
"Hong Wang",5318
"Xin Zhang",5285
"Hong Zhang",5283
"Bo Zhang",5282
"Jie Liu",5272
"Bin Liu",5251
"Jie Chen",5247
"Ping Wang",5229
"T. Nakamura",5214
"Peng Wang",5202
"Li Liu",5168
"Jun Chen",5160
"Chao Wang",5149
"Min Zhang",5077
"Xi Chen",5044
"T. Kobayashi",5024
"Hao Zhang",4990
"A. Kumar",4957
"Y. Yang",4940
"Yi Liu",4908
"S. Lee",4907
"Ping Li",4898
"Jun Yang",4896
"Bo Li",4883
"Martin H. Weik, ",4878
"Feng Wang",4849
"Lin Li",4848
"Li Chen",4802
"Yi Li",4753
"S. Kumar",4748
"Hong Li",4742
"X. Liu",4730
"X. Chen",4719
"J. Kim",4641
"Wei Xu",4619
"K. Suzuki",4590
"Qian Wang",4578
"K. Tanaka",4551
"Jing Chen",4524
"Rui Wang",4521
"Gang Li",4519
"Yu Chen",4508
"Gang Chen",4496
"Bo Liu",4486
"Yong Liu",4481
"Bo Wang",4467
"Rui Zhang",4465
"S. Wang",4421
"Xin Liu",4417
"T. Yamamoto",4407
"K. Sato",4391
"Jian Chen",4375
"Lin Zhang",4369
"Qiang Li",4332
"H. Chen",4323
"Lei Chen",4322
"Feng Li",4311
"Lin Wang",4311
"Qi Zhang",4306
"Fei Wang",4296
"C. Wang",4284
"Yang Zhang",4266
"Feng Liu",4248
"Hui Liu",4224
"Wei Wu",4215
"Qiang Zhang",4196
"Min Li",4192
"Jie Yang",4190
"Hong Liu",4172
"H. Liu",4169
"Yong Li",4169
"Yan Chen",4166
"Qiang Wang",4160
"S. Kim",4155
"Y. Suzuki",4151
"Xiang Li",4132
"Lei Li",4124
"Lei Liu",4108
"T. Takahashi",4107
"Jian Liu",4106
"K. Takahashi",4094
"W. Wang",4077
"T. Sato",4056
"Li Yang",4050
"Tao Li",4050
"Peng Li",4039
"L. Chen",4037
"Y. Nakamura",4037
"S. Tanaka",4035
"J. Yang",4027
"Fang Wang",4006
"Min Wang",4003
"Z. Li",3995
"Wei Wei",3961
"Dong Wang",3956
"Wei Zhou",3956
"Gang Wang",3940
"H. Kim",3940
"Wei Zhao",3936
"Fan Yang",3934
"T. Tanaka",3926
"M. Tanaka",3912
"T. Watanabe",3895
"Kai Wang",3886
"K. Watanabe",3875
"Hong Chen",3869
"Jun Xu",3864
"Wei Sun",3849
"Bin Zhang",3830
"S. Li",3815
"W. Li",3787
"W. Zhang",3773
"Ying Chen",3771
"Ning Li",3763
"Feng Chen",3758
"Xin Chen",3748
"J. Wu",3747
"M. Takahashi",3742
"Jie Wang",3736
"Peng Liu",3712
"M. Suzuki",3699
"Qian Zhang",3698
"Fan Zhang",3673
"H. Takahashi",3638
"Feng Zhang",3618
"Jing Yang",3612
"K. Nakamura",3607
"et al. et al.",3596
"Arnold L. Rheingold",3590
"H. Tanaka",3590
"Wei Yang",3575
"Jian Yang",3552
"Y. Wu",3548
"C. Li",3544
"Tao Liu",3537
"Y. Zhou",3509
"Qing Li",3503
"Jin Wang",3496
"K. M. REESE",3495
"L. Liu",3495
"Q. Wang",3495
"Y. Tanaka",3482
"Feng Gao",3474
"Y. Huang",3445
"Na Li",3443
"Y. Zhao",3442
"S. Suzuki",3415
"S. Chen",3401
"H. Yang",3373
"Chao Zhang",3369
"K. Yamamoto",3353
"H. Suzuki",3351
"Ming Zhang",3350
"Fang Liu",3346
"C. Chen",3335
"Gang Liu",3334
"Qi Li",3324
"Ping Zhang",3308
"D. Wang",3306
"Ashok Kumar",3300
"K. Kobayashi",3275
"Yong Chen",3266
"Hua Zhang",3248
"Z. Liu",3247
"Y. Takahashi",3245
"Yue Wang",3243
"Z. Chen",3243
"Jing Zhao",3231
"Hao Chen",3222
"Lu Wang",3216
"Zhen Wang",3212
"S. Banerjee",3209
"J. Xu",3204
"Lin Chen",3198
"Wei Jiang",3184
"Xu Zhang",3169
"Hui Chen",3168
"Hua Wang",3159
"M. Weber",3152
"The Lancet",3144
"Bo Yang",3127
"M. Wang",3120
"M. Sato",3114
"X. Wu",3113
"R. Kumar",3112
"Yi Yang",3108
"Q. Li",3106
"Yan Xu",3105
"T. Saito",3100
"M. Kobayashi",3095
"Chen Chen",3093
"Qing Wang",3085
"Anil Kumar",3080
"Hao Wu",3031
"W. Chen",3010
"Ning Wang",3009
"Qian Li",3009
"Q. Zhang",3001
"Hao Li",2999
"G. Chen",2995
"Liang Wang",2994
"Y. Xu",2991
"Theodore E. Simos",2980
"Rui Li",2979
"Zhen Li",2974
"M. Nakamura",2970
"Y. Gao",2967
"M. Chen",2952
"Chao Li",2950
"Liang Chen",2938
"Liang Li",2926
"Yuan Li",2908
"Hua Li",2894
"Jin Zhang",2890
"H. Okamoto",2889
"Yan Zhao",2889
"Min Chen",2875
"W. Liu",2866
"Liang Zhang",2861
"No authorship indicated",2859
"Kai Zhang",2858
"S. Gupta",2854
"Y. Kim",2853
"Juan Li",2850
"Y. Watanabe",2849
"Chen Wang",2846
"Wei Gao",2836
"T. Wang",2832
"Dan Li",2829
"Chang Liu",2827
"Jia Liu",2823
"M. Watanabe",2822
"Bin Chen",2802
"T. Yamada",2802
"Y. Sun",2802
"Tao Jiang",2797
"Y. Yamada",2786
"Ling Li",2784
"H. Sato",2772
"Tao Chen",2771
"M. Yamamoto",2759
"F. Wang",2756
"Yue Zhang",2753
"T. Mori",2752
"M. Li",2750
"K. Yamada",2745
"Chao Liu",2744
"J. Zhu",2740
"S. Liu",2740
"Jie Wu",2738
"C. Liu",2736
"Min Liu",2735
"S. Singh",2733
"Jun Ma",2730
"Jing Xu",2728
"Leo A. Paquette",2727
"Dan Wang",2723
"S. Zhang",2719
"S. Ghosh",2718
"K. Yoshida",2712
"Jia Li",2700
"Wei Guo",2695
"Wei Lu",2692
"S. Sharma",2690
"C. Zhang",2682
"B. Liu",2677
"S. Watanabe",2675
"Ke Wang",2673
"Bing Li",2667
"J. Zhao",2666
"Lu Zhang",2666
"S. Yamamoto",2665
"Y. Zhu",2658
"Ping Liu",2649
"Xu Wang",2647
"H. Lee",2646
"Lei Yang",2641
"Jun Wu",2632
"T. Kato",2631
"Yun Zhang",2628
"Feng Xu",2627
"Yun Wang",2622
"H. Kobayashi",2619
"M. Schmidt",2617
"George Psihoyios",2616
"Qiang Liu",2612
"X. Yang",2611
"S. Sato",2609
"Lei Shi",2606
"Y. Sato",2605
"Ming Liu",2599
"S. Das",2594
"Y. Yamamoto",2579
"A. Gupta",2576
"Yi Chen",2569
"Tao Yang",2568
"Y. Lu",2561
"T. Sasaki",2551
"Di Wu",2550
"Meng Wang",2550
"Jun Zhou",2549
"A. Sharma",2544
"J. Smith",2542
"J. Yu",2542
"R. Singh",2536
"Hao Liu",2519
"V. Kumar",2516
"Cheng Wang",2511
"Yang Yu",2510
"Ling Zhang",2498
"Bin Yang",2494
"Alan R. Katritzky",2492
"T. Yamaguchi",2486
"Jian Xu",2478
"T. Matsumoto",2473
"Ming Chen",2472
"Jian Wu",2470
"H. Schmidt",2469
"Ch. Tsitouras",2465
"Ning Zhang",2465
"Ling Wang",2457
"Li Xu",2456
"Fei Li",2452
"Lin Liu",2450
"M. Yamada",2447
"Fei Liu",2444
"Jian Zhou",2439
"Zheng Wang",2437
"Xia Li",2429
"J. Meyer",2427
"S. Nakamura",2427
"Hui Xu",2426
"C. Martin",2424
"Hong Yang",2423
"Ting Wang",2416
"Prem Puri",2414
"D. Smith",2413
"T. Ito",2408
"Jun Zhao",2403
"M. Liu",2398
"Y. Saito",2398
"John M. Opitz",2396
"Yong Yang",2389
"S. Kobayashi",2388
"B. Li",2387
"Jin Li",2386
"L. Yang",2381
"Yu Li",2381
"Yu Zhou",2380
"Xin Zhao",2376
"Jie Xu",2374
"G. Wang",2371
"Hui Yang",2371
"T. Yoshida",2365
"Zheng Li",2364
"Qing Zhang",2359
"H. Yamamoto",2352
"Hui Zhao",2342
"Wei Zheng",2338
"Yuan Liu",2337
"Takashi Nakamura",2318
"M. Yoshida",2316
"T. Inoue",2315
"James F. Reynolds",2313
"Jing Sun",2309
"T. Hayashi",2298
"Yuan Wang",2296
"Zhen Zhang",2291
"Bing Wang",2288
"Y. Kobayashi",2286
"B. Wang",2281
"Qing Liu",2279
"G. Li",2275
"Qiang Fu",2273
"Chi Zhang",2272
"Vera Rich",2271
"K. Kato",2268
"M. Inoue",2268
"Z. Yang",2264
"Yang Zhao",2260
"M. Zhang",2259
"Jun Lu",2258
"Nan Li",2258
"Ping Chen",2256
"K. Ito",2251
"Xiao Wang",2249
"Bin Wu",2247
"Juan Wang",2246
"Hiroshi Watanabe",2244
"Chao Chen",2241
"Qian Liu",2239
"Bin Xu",2238
"R. Smith",2235
"Jian Sun",2234
"J. Zhou",2233
"Yan Sun",2233
"Dong Li",2232
"F. Liu",2231
"H. Yoshida",2231
"D. Zhang",2228
"H. Watanabe",2227
"Bo Chen",2222
"Ting Zhang",2220
"K. Lee",2213
"K. Inoue",2210
"Wei He",2208
"Yan Zhou",2201
"H. Nakamura",2194
"A. Martin",2187
"J. Huang",2187
"S. Takahashi",2184
"D. Li",2177
"Jing Wu",2176
"R. Jones",2175
"S. Yamada",2170
"P. Wang",2168
"Hiroshi Ito",2167
"S. Yoshida",2161
"Yuan Zhang",2161
"Wen Zhang",2160
"Yue Li",2160
"T. Kimura",2159
"Peng Chen",2155
"K. Matsumoto",2153
"Yang Chen",2148
"Ying Xu",2141
"Thomas A. Angerpointner",2140
"Kun Wang",2138
"David Lester",2135
"Lin Yang",2130
"Proceedings of SPIE",2130
"Hong Jiang",2125
"Y. Jiang",2124
"T. Hashimoto",2123
"J. Sun",2122
"R. Wang",2118
"Nan Zhang",2112
"Qi Liu",2111
"M. Schneider",2110
"David Jones",2109
"H. Schneider",2109
"Li Ma",2107
"S. Park",2106
"Wei Hu",2106
"Rajesh Kumar",2104
"X. Sun",2103
"B. Zhang",2101
"Rui Liu",2097
"Ping Yang",2095
"J. Lin",2093
"Lei Zhao",2092
"X. Xu",2092
"A. Smith",2087
"Hiroshi Suzuki",2087
"Xi Zhang",2072
"D. Liu",2069
"Henry F. Schaefer",2068
"J. Park",2065
"Guang Yang",2060
"A. Schmidt",2047
"J.H. Kim",2045
"Li Zhou",2045
"A. Simon",2044
"Jie Sun",2042
"Kai Li",2042
"David J. Williams",2040
"H. Yamada",2040
