"journal_name.keyword: Descending",Count
ChemInform,533257
Nature,391350
"Journal of the American Chemical Society",296245
"Proceedings of the National Academy of Sciences",264284
"Chemical & Engineering News",259985
"Analytical Chemistry",227318
"Tetrahedron Letters",203056
"Chemischer Informationsdienst",191065
"Journal of Applied Physics",190173
"The Journal of Chemical Physics",182369
"The Lancet",176776
"Applied Physics Letters",163817
"The Journal of Organic Chemistry",160004
Biochemistry,157734
Science,154708
"Biochemical and Biophysical Research Communications",141916
"International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts",139049
"Fuel and Energy Abstracts",136764
"Reactions Weekly",126840
"JAMA: The Journal of the American Medical Association",126663
"SAE Technical Paper Series",124445
"FEBS Letters",123182
"Lecture Notes in Computer Science",119573
"Inorganic Chemistry",116996
"Journal of Chromatography A",113909
"PLoS ONE",110003
"Biochemical Journal",108383
"The Journal of Urology",105883
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",104526
"The American Historical Review",103840
"The Journal of Physical Chemistry",102809
Gastroenterology,96020
BMJ,95752
"International Journal of Radiation Oncology*Biology*Physics",95583
"Physics Letters B",94695
"PLOS ONE",93316
"Annals of the New York Academy of Sciences",90801
"Journal of the American College of Cardiology",89750
"Surface Science",88373
"Brain Research",87496
"Chemical Physics Letters",86650
Macromolecules,86535
"Physics Letters A",84233
"Journal of Biological Chemistry",84004
Tetrahedron,83019
"Thin Solid Films",80747
Vacuum,80497
"Environmental Science & Technology",79933
"Angewandte Chemie",79718
"New England Journal of Medicine",78766
"IFAC Proceedings Volumes",78240
"Journal of Alloys and Compounds",76510
"Journal of Geophysical Research",75602
"Biophysical Journal",74849
"Nucleic Acids Research",74582
"Review of Scientific Instruments",74343
"The Journal of Pediatrics",74149
"Solid State Communications",74022
"American Journal of Obstetrics and Gynecology",73777
"Journal of Chemical Education",71843
"The Journal of the Acoustical Society of America",71321
"Applied Surface Science",70409
"Journal of Pediatric Surgery",69504
"Neuroscience Letters",69488
"The Annals of Thoracic Surgery",68536
"American Heart Journal",67721
"Journal of Physics: Conference Series",67452
"Journal of Agricultural and Food Chemistry",67308
"Electronics Letters",66894
"AIP Conference Proceedings",66398
Phytochemistry,65430
"European Journal of Pharmacology",64536
"The American Journal of Cardiology",64453
"Nuclear Physics B",64136
"Fertility and Sterility",63148
"Plastic and Reconstructive Surgery",63055
"Life Sciences",62945
"SSRN Electronic Journal",61927
"Nuclear Physics A",61698
"Monthly Notices of the Royal Astronomical Society",61636
"Journal of Non-Crystalline Solids",61614
"Journal of Organometallic Chemistry",61468
"MRS Proceedings",61286
"Biochemical Society Transactions",61221
Langmuir,61121
"Journal of Applied Polymer Science",61077
"Scientific Reports",60840
"Journal of Physics: Condensed Matter",60821
"Inpharma Weekly",60600
"AJN, American Journal of Nursing",60073
Cancer,59803
"The American Journal of Medicine",59509
"Fresenius' Zeitschrift f�r Analytische Chemie",58636
"European Journal of Cancer",58130
"Journal of Crystal Growth",57525
Organometallics,56956
Anesthesiology,56533
"Journal of Physics A: Mathematical and General",55951
"Journal of Allergy and Clinical Immunology",55919
Polymer,53968
"Optics Communications",53686
"Gastrointestinal Endoscopy",53244
JAMA,53023
Urology,52799
"Journal of the American Academy of Dermatology",52787
"Archives of Biochemistry and Biophysics",52270
"DMW - Deutsche Medizinische Wochenschrift",52238
"Journal of Materials Science",51644
"Journal of Hepatology",51398
"Value in Health",51168
"Biochemical Pharmacology",50804
"Journal of Medicinal Chemistry",50785
"Bulletin of the Chemical Society of Japan",49745
"Journal of Colloid and Interface Science",49734
"The American Journal of Surgery",49570
"Microelectronics Reliability",49400
"Transplantation Proceedings",48714
"Journal of the American Medical Association",48709
"Science News",48030
"International Journal of Cardiology",47234
"The Journal of Physical Chemistry B",47226
InPharma,47217
"Advances in Space Research",46668
"Thermochimica Acta",46605
"FEMS Microbiology Letters",45957
Chemosphere,45700
"British Journal of Surgery",45306
Radiology,45305
"Annals of Emergency Medicine",45132
Neuroscience,45089
Endocrinology,45085
"The Journal of Cell Biology",44776
"Physica C: Superconductivity",44662
"IEEE Transactions on Magnetics",44659
"Journal of Molecular Biology",44380
"European Journal of Biochemistry",44061
Gene,43997
"Analytica Chimica Acta",43479
"Journal of Sound and Vibration",42927
"Science of The Total Environment",42908
"Clinical Science",42333
"Proceedings of the American Mathematical Society",41946
"Journal of Physics D: Applied Physics",41875
"Metal Powder Report",41809
"Geophysical Research Letters",41792
"Clinica Chimica Acta",41789
"Industrial & Engineering Chemistry Research",41779
"Synthetic Metals",41500
"The Journal of Physiology",41430
Vaccine,41396
"Journal of Magnetism and Magnetic Materials",41305
"Journal of The Electrochemical Society",41188
Atherosclerosis,41039
"Journal of Neurochemistry",41024
"Journal of Molecular and Cellular Cardiology",40951
"AORN Journal",40745
Polyhedron,40415
Talanta,40385
"American Journal of Ophthalmology",40351
"The Journal of Physical Chemistry A",40292
"Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms",40010
"Analytical Biochemistry",39908
"Materials Science and Engineering: A",39814
"Journal of Power Sources",39645
"Surface and Coatings Technology",39068
"Electrochimica Acta",38978
"Chemical Engineering Science",38954
Wear,38897
"American Journal of Hypertension",38743
"Biochimica et Biophysica Acta (BBA) - Biomembranes",38674
"Chemical Physics",38648
Virology,38591
"Journal of Economic Entomology",38588
"Experimental Biology and Medicine",38279
"Biological Psychiatry",38219
"Chemistry Letters",38144
"Geochimica et Cosmochimica Acta",38105
"La Revue de Médecine Interne",38081
"European Neuropsychopharmacology",37884
"Physica A: Statistical Mechanics and its Applications",37841
"The Journal of Clinical Endocrinology & Metabolism",37812
"World Literature Today",37728
"CHEMICAL & PHARMACEUTICAL BULLETIN",37720
Chest,37530
"American Journal of Psychiatry",37094
"Archives of Internal Medicine",36909
"Physics Today",36694
"Physica B: Condensed Matter",36291
"Physiology & Behavior",36146
"Developmental Biology",35795
"Electroencephalography and Clinical Neurophysiology",35683
"International Journal of Gynecology & Obstetrics",35629
"Clinical Infectious Diseases",35536
"Journal of Surgical Research",35080
"Alzheimer's & Dementia",35052
"Water Research",34889
"Journal of the American Ceramic Society",34719
"British Journal of Dermatology",34612
"Experimental Cell Research",34480
"Solid State Ionics",34455
Hepatology,34368
"Procedia - Social and Behavioral Sciences",34337
Anaesthesia,34126
"Anthropology News",34071
"Clinical Radiology",33948
"Physics of Fluids",33912
"International Affairs",33857
"Journal of the Neurological Sciences",33779
"Critical Care Medicine",33582
"Journal of Infectious Diseases",33351
"Journal of Investigative Dermatology",33336
"Earth and Planetary Science Letters",33181
"Archives of Ophthalmology",33044
"American Anthropologist",32872
Aquaculture,32800
"Klinische Wochenschrift",32792
