"publisher.keyword: Descending",Count
"Elsevier BV",20202435
"Wiley-Blackwell",7927739
"Springer Nature",7870912
"Informa UK Limited",3343774
"American Chemical Society (ACS)",2312859
"Oxford University Press (OUP)",2283901
"SAGE Publications",1757046
JSTOR,1449689
"Ovid Technologies (Wolters Kluwer Health)",1414750
IEEE,1010563
"Cambridge University Press (CUP)",968608
"Institute of Electrical and Electronics Engineers (IEEE)",836038
"IOP Publishing",830231
"AIP Publishing",766476
"American Medical Association (AMA)",479203
"Thieme Publishing Group",444745
BMJ,435347
SPIE,417344
"Walter de Gruyter GmbH",342727
"Springer Berlin Heidelberg",327192
"Royal Society of Chemistry (RSC)",304168
Elsevier,292396
"American Psychological Association (APA)",270117
"Proceedings of the National Academy of Sciences",264284
"ACM Press",240603
"Public Library of Science (PLoS)",238652
"Springer International Publishing",224781
Wiley,219271
"Portland Press Ltd.",215676
"Institution of Engineering and Technology (IET)",202818
Emerald,201413
"Hindawi Limited",200528
"MDPI AG",197574
"Mary Ann Liebert Inc",166929
"American Association for the Advancement of Science (AAAS)",160962
"Springer Science and Business Media LLC",159360
"S. Karger AG",155901
"Pleiades Publishing Ltd",154968
"University of Chicago Press",153244
"Canadian Science Publishing",131622
"SAE International",131621
"Springer Netherlands",117648
"American Institute of Aeronautics and Astronautics",115776
"The Chemical Society of Japan",115466
"Brill Academic Publishers",110549
"International Union of Crystallography (IUCr)",108914
"Frontiers Media SA",106806
AIP,105148
"Japan Society of Mechanical Engineers",99882
"The Endocrine Society",91796
"Rockefeller University Press",91774
"New England Journal of Medicine (NEJM/MMS)",87302
"Springer New York",86327
"American Society for Biochemistry & Molecular Biology (ASBMB)",84796
"John Wiley & Sons, Inc.",82632
"Springer US",82554
"Association for Computing Machinery (ACM)",80803
"ASME International",80507
"The Royal Society",78635
"Consortium Erudit",75078
"Pharmaceutical Society of Japan",74875
"EDP Sciences",73901
"American Institute of Aeronautics and Astronautics (AIAA)",73776
"Acoustical Society of America (ASA)",71752
"University of California Press",69393
"American Physiological Society",68566
"American Psychiatric Publishing",68405
"The Electrochemical Society",66592
"American Society of Civil Engineers (ASCE)",61701
"John Wiley & Sons, Ltd",59237
"Bohlau Verlag",56852
